s,x_0,x_1,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag,stable
4.0267115,0.00044601038,0.001061012,-3.9077816,0.002040632,8.160091e-05,0.04942281,0.99999994,1.0,,0,1
4.041736,0.00045823865,0.0010179384,-3.922676,0.002065923,6.874078e-05,0.049409427,0.99999994,1.0,,0,1
4.0567613,0.0004704101,0.00097468216,-3.9375825,0.0020932658,5.6992616e-05,0.049386855,0.99999994,1.0,,0,1
4.0717864,0.00048251357,0.00093103945,-3.952499,0.0021224713,4.634295e-05,0.049354836,0.99999994,1.0,,0,1
4.0868115,0.0004944252,0.00088701677,-3.9674273,0.002153048,3.6807498e-05,0.049313787,1.0,1.0,,0,1
4.1018367,0.00050610676,0.00084267464,-3.9823675,0.002184808,2.8372338e-05,0.04926387,1.0,1.0,,0,1
4.1168613,0.00051751547,0.0007985076,-3.9973173,0.0022176863,2.1039974e-05,0.04920501,1.0,1.0,,0,1
4.1318865,0.00052879285,0.00075371657,-4.012279,0.0022518295,1.4810899e-05,0.049137592,1.0,1.0,,0,1
4.1469116,0.0005394118,0.00070875604,-4.027252,0.0022853212,9.677609e-06,0.04906151,1.0,1.0,,0,1
4.1619368,0.0005505821,0.0006636316,-4.042235,0.0023227078,5.6395243e-06,0.04897716,1.0,1.0,,0,1
4.176962,0.00056094024,0.00061873626,-4.05723,0.0023587756,2.6888895e-06,0.048884522,1.0,1.0,,0,1
4.1919866,0.00057123974,0.00057290215,-4.0722356,0.0023960485,8.2125104e-07,0.048783787,1.0,1.0,,0,1
4.2070117,0.0005813176,0.000527543,-4.0872526,0.0024341824,3.0354133e-08,0.048674982,1.0,1.0,,0,1
4.222037,0.0005909009,0.00048163254,-4.1022806,0.0024717685,3.0912724e-07,0.048558366,1.0,1.0,,0,1
4.237062,0.00060065556,0.0004356727,-4.1173196,0.0025115283,1.6501954e-06,0.048434097,0.99999994,1.0,,0,1
4.252087,0.0006098384,0.00038969517,-4.1323695,0.0025503975,4.044845e-06,0.048302114,0.99999994,1.0,,0,1
4.267112,0.0006190529,0.0003435947,-4.1474295,0.002590747,7.482936e-06,0.04816281,0.99999994,1.0,,0,1
4.282137,0.0006281771,0.00029742718,-4.162501,0.0026320412,1.1956275e-05,0.048016045,1.0,1.0,,0,1
4.297162,0.00063658226,0.0002511926,-4.1775837,0.002671616,1.7455082e-05,0.047862124,0.99999994,1.0,,0,1
4.312187,0.00064476486,0.000204755,-4.1926775,0.002711449,2.396892e-05,0.04770119,0.99999994,1.0,,0,1
4.3272123,0.0006525945,0.00015829131,-4.2077813,0.0027509585,3.1480005e-05,0.047533207,0.99999994,1.0,,0,1
4.342237,0.00066077244,0.00011198409,-4.222896,0.0027930557,3.998761e-05,0.04735827,1.0,1.0,,0,1
4.357262,0.00066842884,6.569177e-05,-4.2380204,0.0028340234,4.947134e-05,0.047176685,1.0,1.0,,0,1
4.3722873,0.00067574903,1.9179657e-05,-4.2531567,0.002874587,5.992084e-05,0.046988502,1.0,1.0,,0,1
4.3873124,0.0006826548,-2.7213246e-05,-4.2683034,0.0029143707,7.132448e-05,0.046793763,1.0,1.0,,0,1
4.402337,0.0006896565,-7.344037e-05,-4.2834597,0.0029555038,8.3661944e-05,0.0465925,0.9999999,1.0,,0,1
4.417362,0.00069599506,-0.00011974387,-4.298628,0.0029947031,9.691969e-05,0.04638524,1.0,1.0,,0,1
4.4323874,0.0007023569,-0.00016597472,-4.313806,0.0030348669,0.00011108927,0.046171624,1.0,1.0,,0,1
4.4474125,0.0007084245,-0.00021228567,-4.3289948,0.003074605,0.0001261502,0.04595193,1.0,1.0,,0,1
4.4624376,0.00071434956,-0.00025833026,-4.3441935,0.003114515,0.00014209149,0.045726225,1.0,1.0,,0,1
4.4774623,0.000719809,-0.00030466355,-4.359403,0.0031532084,0.00015889082,0.045494802,0.9999999,1.0,,0,1
4.4924874,0.000724731,-0.00035073236,-4.3746223,0.0031902874,0.00017653982,0.045257434,0.99999994,1.0,,0,1
4.5075126,0.0007298095,-0.0003965255,-4.3898516,0.0032287298,0.00019501154,0.045014456,1.0,1.0,,0,1
4.5225377,0.0007346971,-0.00044218078,-4.405092,0.0032670102,0.00021429392,0.044765916,0.99999994,1.0,,0,1
4.5375624,0.0007391041,-0.0004879292,-4.420341,0.0033038668,0.0002343684,0.044511955,0.99999994,1.0,,0,1
4.5525875,0.00074346457,-0.0005333014,-4.4356017,0.0033411023,0.00025521583,0.044252604,0.9999999,1.0,,0,1
4.5676126,0.0007470641,-0.00057874434,-4.450872,0.003375627,0.0002768244,0.043987848,0.9999998,1.0,,0,1
4.582638,0.00075087976,-0.00062363036,-4.466151,0.00341159,0.00029917486,0.04371792,0.99999994,1.0,,0,1
4.597663,0.00075414404,-0.0006686058,-4.481442,0.003445712,0.00032223453,0.043443073,1.0,1.0,,0,1
4.6126876,0.00075725466,-0.0007136073,-4.4967413,0.0034797096,0.00034599943,0.04316311,1.0,1.0,,0,1
4.6277127,0.0007604696,-0.0007578917,-4.5120516,0.0035145467,0.00037045372,0.042878114,1.0,1.0,,0,1
4.642738,0.00076297484,-0.0008021444,-4.527369,0.0035467492,0.00039556748,0.042588312,0.9999999,1.0,,0,1
4.657763,0.0007653758,-0.00084644184,-4.5426984,0.0035789905,0.0004213139,0.042293735,0.99999994,1.0,,0,1
4.6727877,0.00076716393,-0.00089023635,-4.5580363,0.0036088745,0.00044768534,0.04199448,0.99999994,1.0,,0,1
4.687813,0.00076924916,-0.00093392655,-4.573384,0.0036404962,0.00047467544,0.04169063,0.99999994,1.0,,0,1
4.702838,0.0007704515,-0.0009774547,-4.5887413,0.0036686084,0.00050223107,0.041382287,1.0,1.0,,0,1
4.717863,0.00077217165,-0.0010201689,-4.604108,0.0036992107,0.00053034443,0.041069448,1.0,1.0,,0,1
4.732888,0.00077299774,-0.001062898,-4.619483,0.0037262565,0.00055900915,0.040752202,1.0,1.0,,0,1
4.747913,0.0007738974,-0.0011056643,-4.634868,0.0037540284,0.0005881796,0.040430807,1.0,1.0,,0,1
4.762938,0.00077451486,-0.0011477489,-4.650261,0.0037807226,0.00061787857,0.040105056,1.0,1.0,,0,1
