s,x_0,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag
1.6427379,-0.94752884,1.241696,0.32584107,0.0016984849,0.1388191,0.9999989,1.4517366,,0
1.6527547,-0.9530243,1.2495706,0.32528174,0.0017269457,0.14038631,0.99999905,1.4751956,,0
1.6627713,-0.9585062,1.2574499,0.32466108,0.0017551538,0.14193608,0.999999,1.4987528,,0
1.672788,-0.9639753,1.2653342,0.32397848,0.0017831522,0.14346842,0.99999887,1.522411,,0
1.6828047,-0.9694307,1.2732234,0.32323486,0.0018109208,0.1449831,0.9999989,1.546164,,0
1.6928214,-0.9748726,1.2811185,0.32243127,0.0018383211,0.14647974,0.99999887,1.5700113,,0
1.7028381,-0.9803008,1.2890185,0.32156694,0.0018654278,0.14795847,0.9999988,1.5939504,,0
1.7128547,-0.9857156,1.2969257,0.32064384,0.0018922454,0.14941886,0.99999875,1.6179801,,0
1.7228715,-0.9911166,1.3048375,0.31966025,0.0019186068,0.15086113,0.9999988,1.6420987,,0
1.7328882,-0.99650335,1.3127534,0.31861645,0.001944546,0.15228476,0.9999988,1.6663034,,0
1.7429049,-1.001876,1.3206788,0.31751788,0.0019700297,0.15368974,0.9999988,1.6905879,,0
1.7529216,-1.0072348,1.3286086,0.31635904,0.0019951148,0.15507601,0.9999988,1.7149571,,0
1.7629383,-1.0125788,1.3365439,0.315143,0.0020196298,0.15644324,0.9999988,1.7394038,,0
1.772955,-1.0179088,1.3444879,0.31387174,0.0020436319,0.15779148,0.99999875,1.763927,,0
1.7829716,-1.0232246,1.352437,0.31254232,0.0020669517,0.15912047,0.99999857,1.7885289,,0
1.7929883,-1.0285257,1.3603911,0.31115568,0.0020898208,0.16043009,0.9999986,1.8132043,,0
1.803005,-1.0338119,1.3683554,0.3097179,0.0021119115,0.16172045,0.99999857,1.8379458,,0
1.8130218,-1.039084,1.3763233,0.30822122,0.0021333585,0.1629911,0.99999857,1.862763,,0
1.8230385,-1.044341,1.3842992,0.30667198,0.002154178,0.16424221,0.99999857,1.8876449,,0
1.8330551,-1.049583,1.3922826,0.30506992,0.0021742315,0.16547349,0.99999857,1.9125904,,0
1.8430718,-1.0548102,1.4002733,0.30341482,0.0021935178,0.16668478,0.99999845,1.9376001,,0
1.8530885,-1.0600222,1.4082706,0.30170715,0.002212009,0.16787627,0.9999985,1.9626706,,0
1.8631052,-1.0652195,1.4162778,0.29995,0.002229722,0.16904768,0.99999845,1.9878002,,0
1.8731219,-1.0704012,1.4242908,0.29814112,0.002246624,0.17019886,0.9999984,2.0129857,,0
1.8831387,-1.0755683,1.4323118,0.29628086,0.0022626715,0.17133,0.99999833,2.03823,,0
1.8931553,-1.08072,1.4403406,0.29437196,0.0022778143,0.17244057,0.99999833,2.0635262,,0
1.903172,-1.0858557,1.4483789,0.29241693,0.0022919802,0.17353095,0.99999833,2.088869,,0
